scientificName,japaneseName,order,family
Obliquogobius megalops,Omechihirohaze,Gobiiformes,Gobiidae
Echiodon anchipterus,Kumanokakureuo,Ophidiiformes,Carapidae
Cryptocentrus inexplicatus,Buchihaze,Gobiiformes,Gobiidae
Pyramodon ventralis,Onikakureuo,Ophidiiformes,Carapidae
Gobiodon heterospilos,Ichimonjikobanhaze,Gobiiformes,Gobiidae
Pyramodon lindas,Bakeonikakureuo,Ophidiiformes,Carapidae
Discordipinna vibrissa,,Gobiiformes,Gobiidae
Encheliophis sagamianus,Kakureuo,Ophidiiformes,Carapidae
Encheliophis homei,Tenagakakureuo,Ophidiiformes,Carapidae
Paragobiodon melanosoma,Kurodarumahaze,Gobiiformes,Gobiidae
Encheliophis boraborensis,Bozukakureuo,Ophidiiformes,Carapidae
Tomiyamichthys oni,Onihaze,Gobiiformes,Gobiidae
Encheliophis gracilis,Shimofurikakureuo,Ophidiiformes,Carapidae
Bathygobius niger,Kurokumohaze,Gobiiformes,Gobiidae
Ptereleotris monoptera,Himeyurihaze,Gobiiformes,Gobiidae
Snyderidia canina,Nishikakureuo,Ophidiiformes,Carapidae
Trimma taylori,Oyogibenihaze,Gobiiformes,Gobiidae
Amblyeleotris melanocephala,Zugurodatehaze,Gobiiformes,Gobiidae
Bathygobius coalitus,Kuroyahazuhaze,Gobiiformes,Gobiidae
Acentrogobius audax,Nisetsumugihaze,Gobiiformes,Gobiidae
Stonogobiops nematodes,Hirenaganejirimbo,Gobiiformes,Gobiidae
Amblyeleotris steinitzi,Himedatehaze,Gobiiformes,Gobiidae
Ptereleotris lineopinnis,Ogurohimeyurihaze,Gobiiformes,Gobiidae
Amblyeleotris masuii,Masuidatehaze,Gobiiformes,Gobiidae
Nebrius ferrugineus,Otenjikuzame,Orectolobiformes,Ginglymostomatidae
Gobiodon histrio,Benisashikobanhaze,Gobiiformes,Gobiidae
Sueviota minersorum,Kadomoriawaseisohaze,Gobiiformes,Gobiidae
Trimma milta,Hoshikuzubenihaze,Gobiiformes,Gobiidae
Amblyeleotris japonica,Datehaze,Gobiiformes,Gobiidae
Chiloscyllium griseum,Shimazame,Orectolobiformes,Hemiscylliidae
Bryaninops natans,Akamehaze,Gobiiformes,Gobiidae
Trimma matsunoi,Kashiwabenihaze,Gobiiformes,Gobiidae
